Doc,Date,Title,Author,Disputed
1,"October 27, 1787",General Introduction,Alexander Hamilton,FALSE
2,"October 31, 1787",Concerning Dangers from Foreign Force and Influence,John Jay,FALSE
3,"November 3, 1787",The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,John Jay,FALSE
4,"November 7, 1787",The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,John Jay,FALSE
5,"November 10, 1787",The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,John Jay,FALSE
6,"November 14, 1787",Concerning Dangers from Dissensions Between the States,Alexander Hamilton,FALSE
7,"November 15, 1787",The Same Subject Continued: Concerning Dangers from Dissensions Between the States,Alexander Hamilton,FALSE
8,"November 20, 1787",The Consequences of Hostilities Between the States,Alexander Hamilton,FALSE
9,"November 21, 1787",The Union as a Safeguard Against Domestic Faction and Insurrection,Alexander Hamilton,FALSE
10,"November 22, 1787",The Same Subject Continued: The Union as a Safeguard Against Domestic Faction and Insurrection,James Madison,FALSE
11,"November 24, 1787",The Utility of the Union in Respect to Commercial Relations and a Navy,Alexander Hamilton,FALSE
12,"November 27, 1787",The Utility of the Union In Respect to Revenue,Alexander Hamilton,FALSE
13,"November 28, 1787",Advantage of the Union in Respect to Economy in Government,Alexander Hamilton,FALSE
14,"November 30, 1787",Objections to the Proposed Constitution From Extent of Territory Answered,James Madison,FALSE
15,"December 1, 1787",The Insufficiency of the Present Confederation to Preserve the Union,Alexander Hamilton,FALSE
16,"December 4, 1787",The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,Alexander Hamilton,FALSE
17,"December 5, 1787",The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,Alexander Hamilton,FALSE
18,"December 7, 1787",The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,James Madison,TRUE
19,"December 8, 1787",The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,James Madison,TRUE
20,"December 11, 1787",The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,James Madison,TRUE
21,"December 12, 1787",Other Defects of the Present Confederation,Alexander Hamilton,FALSE
22,"December 14, 1787",The Same Subject Continued: Other Defects of the Present Confederation,Alexander Hamilton,FALSE
23,"December 18, 1787",The Necessity of a Government as Energetic as the One Proposed to the Preservation of the Union,Alexander Hamilton,FALSE
24,"December 19, 1787",The Powers Necessary to the Common Defense Further Considered,Alexander Hamilton,FALSE
25,"December 21, 1787",The Same Subject Continued: The Powers Necessary to the Common Defense Further Considered,Alexander Hamilton,FALSE
26,"December 22, 1787",The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,Alexander Hamilton,FALSE
27,"December 25, 1787",The Same Subject Continued: The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,Alexander Hamilton,FALSE
28,"December 26, 1787",The Same Subject Continued: The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,Alexander Hamilton,FALSE
29,"January 9, 1788",Concerning the Militia,Alexander Hamilton,FALSE
30,"December 28, 1787",Concerning the General Power of Taxation,Alexander Hamilton,FALSE
31,"January 1, 1788",The Same Subject Continued: Concerning the General Power of Taxation,Alexander Hamilton,FALSE
32,"January 2, 1788",The Same Subject Continued: Concerning the General Power of Taxation,Alexander Hamilton,FALSE
33,"January 2, 1788",The Same Subject Continued: Concerning the General Power of Taxation,Alexander Hamilton,FALSE
34,"January 5, 1788",The Same Subject Continued: Concerning the General Power of Taxation,Alexander Hamilton,FALSE
35,"January 5, 1788",The Same Subject Continued: Concerning the General Power of Taxation,Alexander Hamilton,FALSE
36,"January 8, 1788",The Same Subject Continued: Concerning the General Power of Taxation,Alexander Hamilton,FALSE
37,"January 11, 1788",Concerning the Difficulties of the Convention in Devising a Proper Form of Government,James Madison,FALSE
38,"January 12, 1788","The Same Subject Continued, and the Incoherence of the Objections to the New Plan Exposed",James Madison,FALSE
39,"January 18, 1788",The Conformity of the Plan to Republican Principles,James Madison,FALSE
40,"January 18, 1788",The Powers of the Convention to Form a Mixed Government Examined and Sustained,James Madison,FALSE
41,"January 19, 1788",General View of the Powers Conferred by the Constitution,James Madison,FALSE
42,"January 22, 1788",The Powers Conferred by the Constitution Further Considered,James Madison,FALSE
43,"January 23, 1788",The Same Subject Continued: The Powers Conferred by the Constitution Further Considered,James Madison,FALSE
44,"January 25, 1788",Restrictions on the Authority of the Several States,James Madison,FALSE
45,"January 26, 1788",The Alleged Danger From the Powers of the Union to the State Governments Considered,James Madison,FALSE
46,"January 29, 1788",The Influence of the State and Federal Governments Compared,James Madison,FALSE
47,"January 30, 1788",The Particular Structure of the New Government and the Distribution of Power Among Its Different Parts,James Madison,FALSE
48,"February 1, 1788",These Departments Should Not Be So Far Separated as to Have No Constitutional Control Over Each Other,James Madison,FALSE
49,"February 2, 1788",Method of Guarding Against the Encroachments of Any One Department of Government,James Madison,TRUE
50,"February 5, 1788",Periodic Appeals to the People Considered,James Madison,TRUE
51,"February 6, 1788",The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments,James Madison,TRUE
52,"February 8, 1788",The House of Representatives,James Madison,TRUE
53,"February 9, 1788",The Same Subject Continued: The House of Representatives,James Madison,TRUE
54,"February 12, 1788",The Apportionment of Members Among the States,James Madison,TRUE
55,"February 13, 1788",The Total Number of the House of Representatives,James Madison,TRUE
56,"February 16, 1788",The Same Subject Continued: The Total Number of the House of Representatives,James Madison,TRUE
57,"February 19, 1788",The Alleged Tendency of the New Plan to Elevate the Few at the Expense of the Many,James Madison,TRUE
58,"February 20, 1788",Objection That The Number of Members Will Not Be Augmented as the Progress of Population Demands Considered,James Madison,TRUE
59,"February 22, 1788",Concerning the Power of Congress to Regulate the Election of Members,Alexander Hamilton,FALSE
60,"February 23, 1788",The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,Alexander Hamilton,FALSE
61,"February 26, 1788",The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,Alexander Hamilton,FALSE
62,"February 27, 1788",The Senate,James Madison,TRUE
63,"March 1, 1788",The Senate Continued,James Madison,TRUE
64,"March 5, 1788",The Powers of the Senate,John Jay,FALSE
65,"March 7, 1788",The Powers of the Senate Continued,Alexander Hamilton,FALSE
66,"March 8, 1788",Objections to the Power of the Senate To Set as a Court for Impeachments Further Considered,Alexander Hamilton,FALSE
67,"March 11, 1788",The Executive Department,Alexander Hamilton,FALSE
68,"March 12, 1788",The Mode of Electing the President,Alexander Hamilton,FALSE
69,"March 14, 1788",The Real Character of the Executive,Alexander Hamilton,FALSE
70,"March 15, 1788",The Executive Department Further Considered,Alexander Hamilton,FALSE
71,"March 18, 1788",The Duration in Office of the Executive,Alexander Hamilton,FALSE
72,"March 19, 1788","The Same Subject Continued, and Re-Eligibility of the Executive Considered",Alexander Hamilton,FALSE
73,"March 21, 1788","The Provision For The Support of the Executive, and the Veto Power",Alexander Hamilton,FALSE
74,"March 25, 1788","The Command of the Military and Naval Forces, and the Pardoning Power of the Executive",Alexander Hamilton,FALSE
75,"March 26, 1788",The Treaty Making Power of the Executive,Alexander Hamilton,FALSE
76,"April 1, 1788",The Appointing Power of the Executive,Alexander Hamilton,FALSE
77,"April 2, 1788",The Appointing Power Continued and Other Powers of the Executive Considered,Alexander Hamilton,FALSE
78,"May 28, 1788 (book)
June 14, 1788 (newspaper)",The Judiciary Department,Alexander Hamilton,FALSE
79,"May 28, 1788 (book)
June 18, 1788 (newspaper)",The Judiciary Continued,Alexander Hamilton,FALSE
80,"June 21, 1788",The Powers of the Judiciary,Alexander Hamilton,FALSE
81,"June 25, 1788 and
June 28, 1788","The Judiciary Continued, and the Distribution of the Judicial Authority",Alexander Hamilton,FALSE
82,"July 2, 1788",The Judiciary Continued,Alexander Hamilton,FALSE
83,"July 5, 1788,
July 9, 1788 and
July 12, 1788",The Judiciary Continued in Relation to Trial by Jury,Alexander Hamilton,FALSE
84,"July 16, 1788,
July 26, 1788 and
August 9, 1788",Certain General and Miscellaneous Objections to the Constitution Considered and Answered,Alexander Hamilton,FALSE
85,"August 13, 1788 and
August 16, 1788",Concluding Remarks,Alexander Hamilton,FALSE